Year,Major,University,Time,Order
Year 2,Mathematics,Butler University,12,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Political Science,Butler University,10,Indiana Pork Chili
Year 2,Physics,Ball State University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Physics,Butler University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Astronomy,Butler University,13,Sugar Cream Pie
Year 2,Business Administration,University of Notre Dame,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Physics,Butler University,13,Cornbread Hush Puppies
Year 2,Astronomy,University of Evansville,13,Sweet Potato Fries
Year 3,Marketing,University of Evansville,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Economics,Ball State University,11,Indiana Pork Chili
Year 2,Biology,Ball State University,14,Breaded Pork Tenderloin Sandwich
Year 3,Chemistry,Indiana State University,13,Cornbread Hush Puppies
Year 2,Biology,Indiana State University,12,Fried Catfish Basket
Year 3,Mathematics,Butler University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Astronomy,Butler University,10,Breaded Pork Tenderloin Sandwich
Year 3,Anthropology,Butler University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Astronomy,Butler University,11,Sweet Potato Fries
Year 2,Mathematics,Ball State University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Mathematics,Butler University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Physics,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Chemistry,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Biology,Indiana University-Purdue University Indianapolis (IUPUI),10,Fried Catfish Basket
Year 2,Biology,Indiana State University,12,Fried Catfish Basket
Year 3,Chemistry,Butler University,13,Cornbread Hush Puppies
Year 3,Chemistry,Butler University,14,Sugar Cream Pie
Year 3,Physics,Indiana State University,11,Sweet Potato Fries
Year 3,Biology,Ball State University,14,Sugar Cream Pie
Year 3,Mathematics,Butler University,11,Breaded Pork Tenderloin Sandwich
Year 2,Finance,Butler University,10,Breaded Pork Tenderloin Sandwich
Year 2,Economics,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 2,Fine Arts,University of Evansville,13,Fried Catfish Basket
Year 2,Physics,Ball State University,11,Breaded Pork Tenderloin Sandwich
Year 2,Mathematics,Ball State University,12,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Finance,University of Evansville,15,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Astronomy,Ball State University,14,Breaded Pork Tenderloin Sandwich
Year 3,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),13,Hoosier BBQ Pulled Pork Sandwich
Year 2,Mathematics,Indiana University-Purdue University Indianapolis (IUPUI),12,Sweet Potato Fries
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Astronomy,Butler University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Physics,Indiana State University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Physics,Ball State University,11,Breaded Pork Tenderloin Sandwich
Year 3,Marketing,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Chemistry,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Astronomy,Ball State University,11,Breaded Pork Tenderloin Sandwich
Year 2,Finance,Ball State University,11,Breaded Pork Tenderloin Sandwich
Year 2,Biology,Ball State University,12,Indiana Pork Chili
Year 2,Physics,Butler University,13,Sweet Potato Fries
Year 2,Chemistry,Butler University,11,Fried Catfish Basket
Year 3,Mathematics,Indiana University-Purdue University Indianapolis (IUPUI),13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Finance,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Anthropology,Indiana State University,13,Sweet Potato Fries
Year 3,Astronomy,Ball State University,15,Sugar Cream Pie
Year 3,Anthropology,Ball State University,14,Sugar Cream Pie
Year 2,Mathematics,Ball State University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Physics,Indiana State University,11,Fried Catfish Basket
Year 3,Music,Indiana State University,13,Sweet Potato Fries
Year 2,Mathematics,Ball State University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Political Science,Indiana University-Purdue University Indianapolis (IUPUI),12,Sweet Potato Fries
Year 3,Mathematics,Ball State University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Economics,Indiana University-Purdue University Indianapolis (IUPUI),13,Sweet Potato Fries
Year 3,Physics,Indiana State University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Chemistry,Indiana State University,13,Fried Catfish Basket
Year 3,Physics,Indiana State University,11,Cornbread Hush Puppies
Year 3,Astronomy,Ball State University,16,Sugar Cream Pie
Year 2,Chemistry,Indiana State University,12,Fried Catfish Basket
Year 3,Physics,Butler University,13,Sugar Cream Pie
Year 2,Business Administration,Butler University,13,Breaded Pork Tenderloin Sandwich
Year 2,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),13,Sweet Potato Fries
Year 3,Physics,Indiana State University,12,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Biology,Indiana University-Purdue University Indianapolis (IUPUI),13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Astronomy,Butler University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Biology,Indiana State University,12,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Astronomy,Butler University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Finance,Indiana State University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Business Administration,University of Evansville,12,Cornbread Hush Puppies
Year 3,Physics,Ball State University,11,Cornbread Hush Puppies
Year 3,Finance,Butler University,11,Breaded Pork Tenderloin Sandwich
Year 3,Anthropology,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Business Administration,Butler University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Mathematics,Butler University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Astronomy,Butler University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Astronomy,Butler University,13,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Business Administration,Ball State University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Chemistry,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Mathematics,Indiana University-Purdue University Indianapolis (IUPUI),12,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Physics,Indiana State University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Astronomy,Butler University,11,Fried Catfish Basket
Year 2,Astronomy,Ball State University,12,Breaded Pork Tenderloin Sandwich
Year 2,Physics,Butler University,13,Sweet Potato Fries
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),12,Cornbread Hush Puppies
Year 3,Astronomy,Indiana State University,13,Cornbread Hush Puppies
Year 3,Physics,Butler University,12,Cornbread Hush Puppies
Year 2,Biology,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Mathematics,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Chemistry,Butler University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),13,Hoosier BBQ Pulled Pork Sandwich
Year 2,Economics,Butler University,14,Sweet Potato Fries
Year 3,Finance,Butler University,10,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Marketing,University of Notre Dame,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Business Administration,Ball State University,12,Fried Catfish Basket
Year 2,Biology,Ball State University,11,Indiana Pork Chili
Year 3,Physics,Ball State University,14,Sugar Cream Pie
Year 2,Political Science,Indiana University-Purdue University Indianapolis (IUPUI),15,Sweet Potato Fries
Year 3,Psychology,Butler University,12,Sugar Cream Pie
Year 3,Physics,Indiana State University,12,Cornbread Hush Puppies
Year 2,Marketing,Butler University,10,Breaded Pork Tenderloin Sandwich
Year 2,Biology,Indiana State University,12,Fried Catfish Basket
Year 3,Chemistry,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Chemistry,Butler University,12,Indiana Pork Chili
Year 2,Physics,Butler University,10,Fried Catfish Basket
Year 2,Biology,Ball State University,12,Indiana Pork Chili
Year 2,Music,Indiana University-Purdue University Indianapolis (IUPUI),14,Sweet Potato Fries
Year 3,Economics,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Economics,Butler University,11,Sugar Cream Pie
Year 2,Biology,Butler University,12,Indiana Pork Chili
Year 2,Economics,Ball State University,11,Indiana Pork Chili
Year 2,Economics,Butler University,11,Indiana Pork Chili
Year 3,Economics,Ball State University,14,Sugar Cream Pie
Year 3,Marketing,Indiana University-Purdue University Indianapolis (IUPUI),11,Cornbread Hush Puppies
Year 2,Political Science,Butler University,11,Indiana Pork Chili
Year 3,Economics,Indiana State University,12,Sweet Potato Fries
Year 3,Anthropology,Butler University,13,Sugar Cream Pie
Year 3,Physics,Indiana State University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Mathematics,Ball State University,14,Sugar Cream Pie
Year 3,Physics,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Business Administration,Butler University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Economics,Butler University,14,Sugar Cream Pie
Year 2,Biology,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Chemistry,Ball State University,13,Indiana Pork Chili
Year 2,Business Administration,University of Notre Dame,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Biology,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 2,Astronomy,Ball State University,11,Breaded Pork Tenderloin Sandwich
Year 2,Biology,Ball State University,12,Indiana Pork Chili
Year 3,Finance,Indiana State University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Finance,Indiana State University,11,Cornbread Hush Puppies
Year 3,Business Administration,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Biology,Indiana State University,13,Sweet Potato Fries
Year 2,Economics,Indiana State University,10,Fried Catfish Basket
Year 3,Physics,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Astronomy,Butler University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Mathematics,Butler University,12,Fried Catfish Basket
Year 2,Astronomy,Butler University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Mathematics,Ball State University,10,Breaded Pork Tenderloin Sandwich
Year 2,Anthropology,Indiana University-Purdue University Indianapolis (IUPUI),12,Fried Catfish Basket
Year 3,Economics,Ball State University,12,Sugar Cream Pie
Year 2,Marketing,University of Notre Dame,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Economics,Butler University,11,Indiana Pork Chili
Year 2,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),11,Sweet Potato Fries
Year 2,Political Science,Indiana State University,9,Fried Catfish Basket
Year 3,Physics,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Marketing,Indiana State University,12,Cornbread Hush Puppies
Year 2,Marketing,Butler University,10,Breaded Pork Tenderloin Sandwich
Year 2,Anthropology,Indiana University-Purdue University Indianapolis (IUPUI),13,Fried Catfish Basket
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),14,Hoosier BBQ Pulled Pork Sandwich
Year 2,Chemistry,Ball State University,12,Indiana Pork Chili
Year 3,Physics,Butler University,12,Breaded Pork Tenderloin Sandwich
Year 3,Economics,Ball State University,13,Sugar Cream Pie
Year 3,Mathematics,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Biology,Butler University,13,Sugar Cream Pie
Year 2,Biology,Butler University,12,Indiana Pork Chili
Year 3,Finance,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Economics,Ball State University,11,Indiana Pork Chili
Year 2,Physics,Butler University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Political Science,Indiana University-Purdue University Indianapolis (IUPUI),10,Fried Catfish Basket
Year 2,Business Administration,University of Notre Dame,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),10,Cornbread Hush Puppies
Year 3,Physics,Indiana State University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Mathematics,University of Evansville,12,Sweet Potato Fries
Year 2,Physics,Butler University,13,Indiana Pork Chili
Year 3,Physics,Butler University,12,Breaded Pork Tenderloin Sandwich
Year 3,Marketing,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Astronomy,Butler University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Mathematics,Indiana University-Purdue University Indianapolis (IUPUI),14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Biology,Butler University,11,Sweet Potato Fries
Year 2,Economics,Indiana State University,10,Fried Catfish Basket
Year 3,Economics,Indiana State University,13,Sugar Cream Pie
Year 2,Biology,Ball State University,12,Indiana Pork Chili
Year 3,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Physics,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Biology,Indiana State University,12,Fried Catfish Basket
Year 3,Chemistry,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Business Administration,Butler University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Physics,Indiana State University,12,Cornbread Hush Puppies
Year 2,Political Science,Ball State University,10,Indiana Pork Chili
Year 3,Chemistry,Ball State University,13,Sugar Cream Pie
Year 3,Biology,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Chemistry,Ball State University,13,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Chemistry,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Mathematics,Butler University,11,Fried Catfish Basket
Year 3,Mathematics,Butler University,13,Fried Catfish Basket
Year 3,Economics,Ball State University,14,Sugar Cream Pie
Year 3,Chemistry,Butler University,15,Sugar Cream Pie
Year 3,Accounting,Indiana State University,10,Breaded Pork Tenderloin Sandwich
Year 2,Chemistry,Ball State University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Biology,Butler University,13,Sugar Cream Pie
Year 2,Marketing,Butler University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Astronomy,Indiana State University,12,Cornbread Hush Puppies
Year 2,Chemistry,Ball State University,12,Breaded Pork Tenderloin Sandwich
Year 3,Physics,University of Evansville,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Economics,Ball State University,13,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Accounting,Indiana State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Physics,Indiana State University,16,Sweet Potato Fries
Year 3,Political Science,Butler University,13,Sugar Cream Pie
Year 3,Astronomy,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Economics,University of Notre Dame,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Chemistry,Butler University,13,Sugar Cream Pie
Year 3,Astronomy,Butler University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Astronomy,Butler University,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Physics,Ball State University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Chemistry,Butler University,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Physics,Indiana State University,9,Cornbread Hush Puppies
Year 2,Chemistry,Butler University,13,Sweet Potato Fries
Year 3,Economics,Ball State University,14,Sugar Cream Pie
Year 3,Astronomy,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Physics,Ball State University,12,Indiana Pork Chili
Year 3,Business Administration,University of Evansville,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Mathematics,University of Notre Dame,12,Breaded Pork Tenderloin Sandwich
Year 3,Astronomy,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Mathematics,Ball State University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Psychology,Indiana University-Purdue University Indianapolis (IUPUI),14,Sweet Potato Fries
Year 3,Economics,Indiana State University,12,Sweet Potato Fries
Year 2,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),14,Hoosier BBQ Pulled Pork Sandwich
Year 2,Physics,Ball State University,13,Breaded Pork Tenderloin Sandwich
Year 2,Marketing,Butler University,11,Breaded Pork Tenderloin Sandwich
Year 2,Mathematics,Butler University,12,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Political Science,Butler University,11,Sweet Potato Fries
Year 2,Sociology,University of Evansville,13,Fried Catfish Basket
Year 2,Political Science,Indiana State University,14,Sweet Potato Fries
Year 3,Accounting,Indiana University-Purdue University Indianapolis (IUPUI),13,Cornbread Hush Puppies
Year 2,Marketing,University of Notre Dame,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Biology,Indiana University-Purdue University Indianapolis (IUPUI),11,Sweet Potato Fries
Year 3,Biology,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Marketing,Indiana State University,12,Cornbread Hush Puppies
Year 3,Finance,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Mathematics,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Economics,Butler University,12,Indiana Pork Chili
Year 2,Political Science,University of Evansville,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Astronomy,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Psychology,Indiana University-Purdue University Indianapolis (IUPUI),12,Sweet Potato Fries
Year 2,Physics,Butler University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Biology,Butler University,12,Fried Catfish Basket
Year 2,Astronomy,Butler University,12,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Astronomy,Butler University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Economics,Indiana University-Purdue University Indianapolis (IUPUI),15,Sweet Potato Fries
Year 2,Biology,Ball State University,11,Indiana Pork Chili
Year 2,Physics,Indiana State University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Physics,Indiana State University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Marketing,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Biology,Ball State University,14,Sugar Cream Pie
Year 2,Biology,Indiana University-Purdue University Indianapolis (IUPUI),12,Fried Catfish Basket
Year 3,Physics,Indiana State University,13,Cornbread Hush Puppies
Year 2,Biology,Ball State University,13,Indiana Pork Chili
Year 2,Biology,Indiana State University,11,Fried Catfish Basket
Year 2,Physics,Indiana State University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Chemistry,Indiana State University,16,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Business Administration,Butler University,12,Breaded Pork Tenderloin Sandwich
Year 2,Biology,Indiana State University,12,Fried Catfish Basket
Year 2,Business Administration,Butler University,11,Breaded Pork Tenderloin Sandwich
Year 2,Political Science,Indiana University-Purdue University Indianapolis (IUPUI),12,Fried Catfish Basket
Year 2,Finance,Butler University,15,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Mathematics,Butler University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Chemistry,Indiana State University,13,Fried Catfish Basket
Year 3,Business Administration,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Finance,Indiana State University,15,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Economics,Butler University,13,Sugar Cream Pie
Year 2,Biology,Indiana State University,13,Indiana Pork Chili
Year 3,Political Science,Indiana State University,12,Sugar Cream Pie
Year 3,Chemistry,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 2,Chemistry,Butler University,13,Breaded Pork Tenderloin Sandwich
Year 3,Physics,Ball State University,14,Sugar Cream Pie
Year 3,International Business,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Astronomy,Butler University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Physics,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Economics,Butler University,11,Indiana Pork Chili
Year 3,Mathematics,Indiana State University,12,Cornbread Hush Puppies
Year 3,Business Administration,Indiana University-Purdue University Indianapolis (IUPUI),12,Cornbread Hush Puppies
Year 2,Psychology,Indiana State University,10,Fried Catfish Basket
Year 3,Astronomy,University of Notre Dame,15,Sugar Cream Pie
Year 2,Mathematics,Butler University,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Business Administration,Butler University,12,Breaded Pork Tenderloin Sandwich
Year 3,Psychology,Indiana State University,12,Hoosier BBQ Pulled Pork Sandwich
Year 2,Anthropology,Indiana State University,14,Sweet Potato Fries
Year 2,Business Administration,Butler University,12,Breaded Pork Tenderloin Sandwich
Year 3,Astronomy,Butler University,14,Sugar Cream Pie
Year 3,Chemistry,Ball State University,15,Sugar Cream Pie
Year 3,Accounting,Indiana State University,11,Breaded Pork Tenderloin Sandwich
Year 3,Mathematics,Butler University,13,Cornbread Hush Puppies
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),12,Cornbread Hush Puppies
Year 2,Mathematics,Ball State University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Biology,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Mathematics,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Marketing,Butler University,11,Cornbread Hush Puppies
Year 3,Mathematics,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Mathematics,Butler University,10,Cornbread Hush Puppies
Year 3,Physics,Indiana State University,10,Cornbread Hush Puppies
Year 2,Music,University of Evansville,11,Fried Catfish Basket
Year 2,Mathematics,University of Notre Dame,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Mathematics,Indiana University-Purdue University Indianapolis (IUPUI),14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Biology,Indiana State University,12,Sweet Potato Fries
Year 2,Political Science,Indiana State University,11,Fried Catfish Basket
Year 3,Political Science,Indiana University-Purdue University Indianapolis (IUPUI),11,Fried Catfish Basket
Year 3,Chemistry,Indiana State University,11,Cornbread Hush Puppies
Year 2,Biology,Indiana State University,13,Sugar Cream Pie
Year 3,Chemistry,Indiana State University,14,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 2,Chemistry,University of Evansville,14,Sweet Potato Fries
Year 2,Biology,Butler University,9,Fried Catfish Basket
Year 3,Chemistry,Indiana State University,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Chemistry,Butler University,14,Sugar Cream Pie
Year 2,Chemistry,Indiana State University,14,Fried Catfish Basket
Year 3,Chemistry,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Anthropology,Butler University,10,Indiana Pork Chili
Year 2,Biology,Butler University,12,Indiana Pork Chili
Year 3,Chemistry,Ball State University,12,Sugar Cream Pie
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),10,Cornbread Hush Puppies
Year 2,Economics,Indiana State University,12,Fried Catfish Basket
Year 3,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),14,Hoosier BBQ Pulled Pork Sandwich
Year 3,Biology,Indiana State University,11,Sugar Cream Pie
Year 2,Finance,Indiana University-Purdue University Indianapolis (IUPUI),15,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Mathematics,University of Evansville,14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Chemistry,Indiana State University,12,Sweet Potato Fries
Year 3,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),11,Sugar Cream Pie
Year 2,Biology,Indiana State University,14,Fried Catfish Basket
Year 3,Marketing,University of Notre Dame,14,Cornbread Hush Puppies
Year 2,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),13,Sweet Potato Fries
Year 2,Physics,Ball State University,12,Indiana Pork Chili
Year 3,Astronomy,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 2,Finance,Butler University,10,Cornbread Hush Puppies
Year 2,Finance,Indiana University-Purdue University Indianapolis (IUPUI),12,Cornbread Hush Puppies
Year 3,Astronomy,Indiana University-Purdue University Indianapolis (IUPUI),14,Hoosier BBQ Pulled Pork Sandwich
Year 2,Economics,Indiana University-Purdue University Indianapolis (IUPUI),13,Fried Catfish Basket
Year 3,Chemistry,Indiana State University,11,Sweet Potato Fries
Year 3,Mathematics,Indiana University-Purdue University Indianapolis (IUPUI),13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Economics,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 2,Chemistry,Ball State University,12,Indiana Pork Chili
Year 2,Music,Indiana University-Purdue University Indianapolis (IUPUI),11,Fried Catfish Basket
Year 2,Chemistry,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 2,Economics,Indiana State University,12,Indiana Pork Chili
Year 2,Mathematics,Butler University,11,Breaded Pork Tenderloin Sandwich
Year 1,Astronomy,University of Evansville,15,Sweet Potato Fries
Year 3,Political Science,Butler University,13,Sugar Cream Pie
Year 3,Chemistry,Indiana University-Purdue University Indianapolis (IUPUI),10,Cornbread Hush Puppies
Year 3,Anthropology,Indiana State University,12,Sweet Potato Fries
Year 3,Chemistry,Indiana State University,14,Hoosier BBQ Pulled Pork Sandwich
Year 2,Finance,Indiana University Bloomington,13,Ultimate Grilled Cheese Sandwich (with bacon and tomato)
Year 3,Anthropology,Butler University,13,Sweet Potato Fries
Year 3,Economics,Indiana University-Purdue University Indianapolis (IUPUI),13,Hoosier BBQ Pulled Pork Sandwich
Year 2,Economics,Butler University,11,Indiana Pork Chili
Year 3,Business Administration,Butler University,12,Cornbread Hush Puppies
Year 3,Mathematics,Indiana University-Purdue University Indianapolis (IUPUI),13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 2,Economics,Butler University,12,Indiana Pork Chili
Year 3,Physics,Ball State University,12,Indiana Corn on the Cob (brushed with garlic butter)
Year 3,Biology,Butler University,14,Sugar Cream Pie
Year 2,Chemistry,Butler University,10,Fried Catfish Basket
Year 3,Astronomy,Ball State University,15,Sugar Cream Pie
Year 3,Astronomy,Indiana State University,11,Indiana Pork Chili
Year 3,Business Administration,Indiana University-Purdue University Indianapolis (IUPUI),14,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Accounting,Butler University,12,Cornbread Hush Puppies
Year 3,Economics,Butler University,13,Breaded Pork Tenderloin Sandwich
Year 3,Physics,Indiana University-Purdue University Indianapolis (IUPUI),11,Cornbread Hush Puppies
Year 2,Astronomy,Ball State University,14,Breaded Pork Tenderloin Sandwich
Year 3,Biology,Indiana State University,13,Hoosier BBQ Pulled Pork Sandwich
Year 3,Astronomy,Indiana State University,11,Cornbread Hush Puppies
Year 3,Mathematics,University of Evansville,13,Indiana Buffalo Chicken Tacos (3 tacos)
Year 3,Accounting,Butler University,11,Indiana Corn on the Cob (brushed with garlic butter)
Year 2,Finance,Butler University,12,Breaded Pork Tenderloin Sandwich
